Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,2.3
2015,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,2.4
2016,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,2.5
2017,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,2.4
2018,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,3.0
2019,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,2.8
2020,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,3.1
2021,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,3.4
2022,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,3.6
2023,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,3.9
2024,"Personal transfers, received (% of GDP)",,Percent,Normal value,Units,,4.2
2014,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,15.2
2015,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,6.8
2016,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,9.0
2017,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,12.3
2018,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,19.8
2019,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,41.7
2020,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,23.8
2021,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,17.5
2022,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,18.4
2023,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,20.5
2024,"Debt service on external debt, total (% exports and primary income)",,Percent,Normal value,Units,,30.6
2014,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,87.9
2015,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,98.7
2016,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,101.5
2017,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,103.4
2018,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,101.3
2019,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,102.1
2020,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,106.6
2021,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,109.9
2022,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,117.9
2023,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,139.9
2024,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,Normal value,Units,,134.8
2014,Commodity Prices (Export/import),,Index,Normal value,Units,,73.1
2015,Commodity Prices (Export/import),,Index,Normal value,Units,,76.0
2016,Commodity Prices (Export/import),,Index,Normal value,Units,,78.8
2017,Commodity Prices (Export/import),,Index,Normal value,Units,,75.5
2018,Commodity Prices (Export/import),,Index,Normal value,Units,,68.0
2019,Commodity Prices (Export/import),,Index,Normal value,Units,,68.0
2020,Commodity Prices (Export/import),,Index,Normal value,Units,,74.9
2021,Commodity Prices (Export/import),,Index,Normal value,Units,,73.3
2022,Commodity Prices (Export/import),,Index,Normal value,Units,,75.3
2023,Commodity Prices (Export/import),,Index,Normal value,Units,,71.4
2024,Commodity Prices (Export/import),,Index,Normal value,Units,,67.9
2015,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,6.8
2016,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,9.1
2017,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,10.6
2018,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,12.0
2019,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,12.0
2020,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,11.5
2021,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,14.3
2022,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,13.8
2023,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,12.3
2024,Bank nonperforming loans to total gross loans (%),,Percent,Normal value,Units,,16.2
2014,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-5.1
2015,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-7.8
2016,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-6.4
2017,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-6.8
2018,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-7.1
2019,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-7.1
2020,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-7.6
2021,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-8.4
2022,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-6.3
2023,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-5.6
2024,Overall Fiscal Balance (% of GDP):,,Percent,Normal value,Units,,-5.3
2014,Commodity Prices (Export/import),,Index,Normal value,Units,,73.1
2015,Commodity Prices (Export/import),,Index,Normal value,Units,,76.0
2016,Commodity Prices (Export/import),,Index,Normal value,Units,,78.8
2017,Commodity Prices (Export/import),,Index,Normal value,Units,,75.5
2018,Commodity Prices (Export/import),,Index,Normal value,Units,,68.0
2019,Commodity Prices (Export/import),,Index,Normal value,Units,,68.0
2020,Commodity Prices (Export/import),,Index,Normal value,Units,,74.9
2021,Commodity Prices (Export/import),,Index,Normal value,Units,,73.3
2022,Commodity Prices (Export/import),,Index,Normal value,Units,,75.3
2023,Commodity Prices (Export/import),,Index,Normal value,Units,,71.4
2024,Commodity Prices (Export/import),,Index,Normal value,Units,,67.9
2014,Unemployment rate,,Percent,Normal value,Units,,9.7
2016,Unemployment rate,,Percent,Normal value,Units,,7.4
2019,Unemployment rate,,Percent,Normal value,Units,,13.7
2020,Unemployment rate,,Percent,Normal value,Units,,7.2
2021,Unemployment rate,,Percent,Normal value,Units,,6.1
2022,Unemployment rate,,Percent,Normal value,Units,,5.8
2024,Unemployment rate,,Percent,Normal value,Units,,9.1
2014,Total reserves in months of imports,,Months,Normal value,Units,,5.0
2015,Total reserves in months of imports,,Months,Normal value,Units,,4.8
2016,Total reserves in months of imports,,Months,Normal value,Units,,5.0
2017,Total reserves in months of imports,,Months,Normal value,Units,,5.0
2018,Total reserves in months of imports,,Months,Normal value,Units,,5.3
2019,Total reserves in months of imports,,Months,Normal value,Units,,5.5
2020,Total reserves in months of imports,,Months,Normal value,Units,,4.9
2021,Total reserves in months of imports,,Months,Normal value,Units,,5.2
2022,Total reserves in months of imports,,Months,Normal value,Units,,4.0
2023,Total reserves in months of imports,,Months,Normal value,Units,,3.4
2024,Total reserves in months of imports,,Months,Normal value,Units,,4.4
2014,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-10.4
2015,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-6.9
2016,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-5.8
2017,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-7.0
2018,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-5.4
