Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,2.3,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2015,2.4,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2016,2.5,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2017,2.4,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2018,3.0,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2019,2.8,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2020,3.1,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2021,3.4,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2022,3.6,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2023,3.9,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2024,4.2,,Normal value,Units,Percent,"Personal transfers, received (% of GDP)"
2014,15.2,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2015,6.8,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2016,9.0,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2017,12.3,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2018,19.8,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2019,41.7,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2020,23.8,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2021,17.5,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2022,18.4,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2023,20.5,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2024,30.6,,Normal value,Units,Percent,"Debt service on external debt, total (% exports and primary income)"
2014,87.9,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2015,98.7,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2016,101.5,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2017,103.4,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2018,101.3,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2019,102.1,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2020,106.6,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2021,109.9,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2022,117.9,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2023,139.9,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2024,134.8,,Normal value,Units,Kenyan Shillings to US Dollars,"Official exchange rate (LCU per US$, period average annual)"
2014,73.1,,Normal value,Units,Index,Commodity Prices (Export/import)
2015,76.0,,Normal value,Units,Index,Commodity Prices (Export/import)
2016,78.8,,Normal value,Units,Index,Commodity Prices (Export/import)
2017,75.5,,Normal value,Units,Index,Commodity Prices (Export/import)
2018,68.0,,Normal value,Units,Index,Commodity Prices (Export/import)
2019,68.0,,Normal value,Units,Index,Commodity Prices (Export/import)
2020,74.9,,Normal value,Units,Index,Commodity Prices (Export/import)
2021,73.3,,Normal value,Units,Index,Commodity Prices (Export/import)
2022,75.3,,Normal value,Units,Index,Commodity Prices (Export/import)
2023,71.4,,Normal value,Units,Index,Commodity Prices (Export/import)
2024,67.9,,Normal value,Units,Index,Commodity Prices (Export/import)
2015,6.8,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2016,9.1,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2017,10.6,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2018,12.0,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2019,12.0,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2020,11.5,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2021,14.3,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2022,13.8,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2023,12.3,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2024,16.2,,Normal value,Units,Percent,Bank nonperforming loans to total gross loans (%)
2014,-5.1,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2015,-7.8,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2016,-6.4,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2017,-6.8,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2018,-7.1,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2019,-7.1,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2020,-7.6,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2021,-8.4,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2022,-6.3,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2023,-5.6,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2024,-5.3,,Normal value,Units,Percent,Overall Fiscal Balance (% of GDP):
2014,73.1,,Normal value,Units,Index,Commodity Prices (Export/import)
2015,76.0,,Normal value,Units,Index,Commodity Prices (Export/import)
2016,78.8,,Normal value,Units,Index,Commodity Prices (Export/import)
2017,75.5,,Normal value,Units,Index,Commodity Prices (Export/import)
2018,68.0,,Normal value,Units,Index,Commodity Prices (Export/import)
2019,68.0,,Normal value,Units,Index,Commodity Prices (Export/import)
2020,74.9,,Normal value,Units,Index,Commodity Prices (Export/import)
2021,73.3,,Normal value,Units,Index,Commodity Prices (Export/import)
2022,75.3,,Normal value,Units,Index,Commodity Prices (Export/import)
2023,71.4,,Normal value,Units,Index,Commodity Prices (Export/import)
2024,67.9,,Normal value,Units,Index,Commodity Prices (Export/import)
2014,9.7,,Normal value,Units,Percent,Unemployment rate
2016,7.4,,Normal value,Units,Percent,Unemployment rate
2019,13.7,,Normal value,Units,Percent,Unemployment rate
2020,7.2,,Normal value,Units,Percent,Unemployment rate
2021,6.1,,Normal value,Units,Percent,Unemployment rate
2022,5.8,,Normal value,Units,Percent,Unemployment rate
2024,9.1,,Normal value,Units,Percent,Unemployment rate
2014,5.0,,Normal value,Units,Months,Total reserves in months of imports
2015,4.8,,Normal value,Units,Months,Total reserves in months of imports
2016,5.0,,Normal value,Units,Months,Total reserves in months of imports
2017,5.0,,Normal value,Units,Months,Total reserves in months of imports
2018,5.3,,Normal value,Units,Months,Total reserves in months of imports
2019,5.5,,Normal value,Units,Months,Total reserves in months of imports
2020,4.9,,Normal value,Units,Months,Total reserves in months of imports
